id,course_id,score
U_10093038,C_course-v1:MITx+6_00_1x+sp,0.96002699
U_10093038,C_course-v1:TsinghuaX+00612642X+sp,1.197199788
U_10093038,C_course-v1:TsinghuaX+01030132X+sp,0.075873854
U_10093038,C_course-v1:TsinghuaX+30240184+sp,1.636317615
U_10093038,C_course-v1:TsinghuaX+30240184_2X+sp,1.049823219
U_10093038,C_course-v1:TsinghuaX+64100033X+SP,0.2524808
U_10093394,C_course-v1:MITx+15_390_2x+sp,0.154725652
U_10093394,C_course-v1:NBCC+NBCC000201+_sp,0.274956638
U_10093394,C_course-v1:Tsinghua+20181011X+2018_T2,0.197403298
U_10093394,C_course-v1:TsinghuaX+2018032801X+2018_T1,0.05026708
U_10093394,C_course-v1:TsinghuaX+20250064+sp,0.612613418
U_10093394,C_course-v1:TsinghuaX+80240372X+2019_T1,0.839018039
U_10093784,C_course-v1:TsinghuaX+20250064+sp,0.462762944
U_10093784,C_course-v1:TsinghuaX+20250103X+sp,0.058188638
U_10093784,C_course-v1:TsinghuaX+30240184+sp,0.030998439
U_10093837,C_course-v1:JNUX+2018120406X+2018_T2,0.211808716
U_10093837,C_course-v1:TsinghuaX+02070251X+2019_T1,0.055504274
U_10093837,C_course-v1:TsinghuaX+10421102x_2015_T2+sp,0.066353374
U_10093837,C_course-v1:TsinghuaX+10430494X_2015_2+sp,0.035339053
U_10093837,C_course-v1:TsinghuaX+20250064+sp,0.089385533
U_10093837,C_course-v1:TsinghuaX+2070071X+2017_T1,0.101668676
U_10093893,C_course-v1:Tsinghua+20150001+sp,0.133797241
U_10093893,C_course-v1:TsinghuaX+20150001+2019_T1,0.133797241
U_10093893,C_course-v1:TsinghuaX+90640012X+2019_T1,0.097307473
U_10093893,C_course-v1:TsinghuaX+90640012X+sp,0.097307473
U_10093893,C_course-v1:TsinghuaX+THESIS2015X+2015_T1,0.304514208
U_10093893,C_course-v1:TsinghuaX+Thesis2016X+sp,0.066031929
U_10094008,C_course-v1:BNU+2018122603X+2018_T2,0.05502305
U_10094008,C_course-v1:PekingX+Peking001x+_,0.134925836
U_10094008,C_course-v1:TsinghuaX+MOOC101_2015_2+sp,0.447984631
